StateAbbr,StateDesc,CityName,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,PopulationCount
AL,Alabama,Birmingham,17.0,18.7,20.4,2064
AZ,Arizona,Chandler,9.0,9.9,11.0,4235
AL,Alabama,Montgomery,10.8,12.6,14.7,492
AZ,Arizona,Avondale,13.0,14.0,15.0,2378
AL,Alabama,Montgomery,19.6,20.9,22.3,3769
AL,Alabama,Montgomery,18.3,20.2,22.1,1185
AL,Alabama,Mobile,17.4,18.8,20.3,2634
AL,Alabama,Mobile,14.0,15.2,16.6,3425
AL,Alabama,Mobile,11.6,13.1,14.7,4379
AL,Alabama,Mobile,12.3,13.8,15.3,2683
AZ,Arizona,Chandler,8.1,9.1,10.3,2384
AL,Alabama,Mobile,15.5,17.0,18.7,219
AZ,Arizona,Gilbert,11.3,12.5,13.7,4275
AL,Alabama,Montgomery,9.6,10.8,12.0,4467
AL,Alabama,Tuscaloosa,18.7,21.0,23.1,75
AL,Alabama,Birmingham,7.7,9.0,10.6,86
AL,Alabama,Huntsville,11.7,13.0,14.3,3894
AL,Alabama,Birmingham,18.2,19.5,20.9,1783
AZ,Arizona,Gilbert,10.4,11.4,12.3,2734
AL,Alabama,Huntsville,23.7,25.8,27.8,3380
AZ,Arizona,Chandler,10.5,11.7,12.9,2225
AL,Alabama,Hoover,12.2,13.9,15.6,97
AL,Alabama,Birmingham,11.9,13.2,14.6,2952
AL,Alabama,Huntsville,8.7,9.9,11.1,2534
AL,Alabama,Montgomery,10.5,11.5,12.6,4622
AK,Alaska,Anchorage,12.0,12.9,13.8,5107
AZ,Arizona,Chandler,9.8,11.0,12.2,5228
AL,Alabama,Birmingham,16.4,18.1,19.8,3859
AK,Alaska,Anchorage,11.2,12.0,12.8,5259
AL,Alabama,Huntsville,12.8,14.2,15.5,699
AZ,Arizona,Chandler,10.3,11.3,12.3,4853
AZ,Arizona,Avondale,12.0,13.2,14.2,4138
AL,Alabama,Mobile,22.5,24.1,25.9,3343
AL,Alabama,Mobile,18.6,20.8,23.1,2897
AL,Alabama,Mobile,15.7,16.8,17.9,2768
AL,Alabama,Birmingham,15.5,16.7,18.1,947
AL,Alabama,Birmingham,18.3,20.3,22.6,1062
AZ,Arizona,Chandler,8.5,9.5,10.8,5544
AL,Alabama,Mobile,14.1,15.4,16.9,2127
AZ,Arizona,Gilbert,12.0,13.3,14.6,4977
AL,Alabama,Hoover,8.1,9.3,10.6,342
AL,Alabama,Montgomery,16.4,18.5,20.6,1605
AL,Alabama,Mobile,18.6,20.7,22.1,791
AZ,Arizona,Gilbert,10.1,11.3,12.5,6458
AL,Alabama,Mobile,14.9,16.6,18.3,142
AL,Alabama,Mobile,17.9,19.3,20.7,3906
AL,Alabama,Mobile,20.0,21.6,23.3,2188
AK,Alaska,Anchorage,10.2,11.1,12.2,5805
AL,Alabama,Birmingham,14.9,15.9,16.9,371
AL,Alabama,Hoover,9.7,11.2,12.8,209
AL,Alabama,Hoover,8.6,9.8,11.2,3924
AZ,Arizona,Chandler,9.2,10.3,11.5,4400
AZ,Arizona,Chandler,11.7,13.0,14.2,2786
AL,Alabama,Huntsville,9.4,10.6,12.1,4387
AK,Alaska,Anchorage,8.4,9.6,10.9,2570
AK,Alaska,Anchorage,9.0,10.1,11.2,5104
AL,Alabama,Tuscaloosa,14.8,16.9,18.9,2354
AZ,Arizona,Gilbert,11.4,12.4,13.5,4213
AZ,Arizona,Chandler,9.8,11.0,12.3,5874
AL,Alabama,Huntsville,17.8,19.5,21.3,3650
AL,Alabama,Birmingham,9.8,10.8,12.0,2944
AL,Alabama,Huntsville,13.9,14.9,16.0,1598
AK,Alaska,Anchorage,10.8,11.8,12.7,6179
AZ,Arizona,Avondale,16.8,18.3,19.8,1972
AL,Alabama,Hoover,15.2,16.4,17.7,3659
AZ,Arizona,Gilbert,10.2,11.6,13.2,7264
AL,Alabama,Montgomery,14.7,15.7,16.7,5656
AZ,Arizona,Gilbert,10.1,11.4,12.8,3261
AL,Alabama,Tuscaloosa,17.4,19.3,21.4,5858
AK,Alaska,Anchorage,10.6,11.6,12.8,4791
AL,Alabama,Tuscaloosa,15.0,16.1,17.2,534
AL,Alabama,Tuscaloosa,17.9,24.0,27.6,3769
AL,Alabama,Birmingham,14.8,16.4,18.1,1514
AL,Alabama,Montgomery,17.4,19.3,21.2,1388
AL,Alabama,Huntsville,15.4,17.0,18.7,2982
AK,Alaska,Anchorage,9.2,10.5,12.0,3381
AL,Alabama,Birmingham,19.6,21.2,22.7,2735
AL,Alabama,Birmingham,14.1,15.2,16.3,4933
AL,Alabama,Mobile,13.7,15.3,16.8,1708
AL,Alabama,Hoover,11.9,13.2,14.6,3524
AL,Alabama,Mobile,17.3,18.5,19.7,4536
AK,Alaska,Anchorage,9.1,10.2,11.5,10549
AZ,Arizona,Chandler,10.1,11.4,12.6,1974
AL,Alabama,Hoover,9.0,10.5,12.3,218
AK,Alaska,Anchorage,8.7,9.5,10.4,7166
AL,Alabama,Birmingham,14.2,15.8,17.4,4216
AL,Alabama,Mobile,17.3,19.0,20.7,1907
AL,Alabama,Montgomery,12.8,14.3,15.7,2492
AL,Alabama,Birmingham,19.4,20.7,22.1,1894
AL,Alabama,Huntsville,10.3,11.6,13.1,661
AZ,Arizona,Chandler,9.1,10.2,11.5,6229
AL,Alabama,Huntsville,7.5,8.6,9.9,1332
AL,Alabama,Mobile,14.7,15.8,17.0,3994
AZ,Arizona,Gilbert,10.0,11.2,12.5,5072
AL,Alabama,Tuscaloosa,8.9,10.0,11.3,3039
AL,Alabama,Birmingham,11.7,13.1,14.7,403
AL,Alabama,Huntsville,18.8,20.3,21.8,5172
AL,Alabama,Montgomery,20.3,21.4,22.5,4893
AZ,Arizona,Avondale,11.2,12.1,13.2,5757
AZ,Arizona,Chandler,10.4,11.6,12.9,5557
AZ,Arizona,Avondale,13.3,14.6,15.8,416
AL,Alabama,Mobile,13.0,14.6,16.2,4029
AK,Alaska,Anchorage,11.7,12.8,14.0,4131
AL,Alabama,Tuscaloosa,17.8,21.2,23.8,2876
AL,Alabama,Montgomery,18.5,20.5,22.4,2754
AL,Alabama,Tuscaloosa,18.1,19.9,21.7,4076
AL,Alabama,Huntsville,15.6,17.1,18.5,1992
AL,Alabama,Mobile,12.5,13.5,14.6,1819
AL,Alabama,Hoover,10.2,11.5,12.9,5159
AL,Alabama,Montgomery,10.2,11.6,13.3,1058
AL,Alabama,Mobile,18.0,19.4,20.9,3045
AL,Alabama,Montgomery,14.7,15.9,17.0,2497
AZ,Arizona,Gilbert,10.7,10.9,11.0,208453
AZ,Arizona,Chandler,10.9,11.9,13.0,5448
AZ,Arizona,Chandler,5.7,6.7,7.9,102
AL,Alabama,Birmingham,19.7,21.5,23.4,1824
AL,Alabama,Birmingham,18.7,20.5,22.5,2477
AZ,Arizona,Chandler,9.1,10.2,11.3,2028
AL,Alabama,Huntsville,16.9,18.4,20.0,4946
AL,Alabama,Birmingham,14.7,16.1,17.6,4683
AL,Alabama,Montgomery,17.6,19.6,21.5,3774
AL,Alabama,Birmingham,12.9,14.8,16.7,1528
AL,Alabama,Mobile,12.1,13.4,14.6,1300
AL,Alabama,Birmingham,16.8,18.6,20.4,114
AL,Alabama,Birmingham,11.8,12.9,14.2,304
AZ,Arizona,Gilbert,9.8,11.2,12.5,5133
AZ,Arizona,Gilbert,10.4,11.6,12.9,2917
AL,Alabama,Birmingham,13.4,14.8,16.4,952
AL,Alabama,Mobile,14.8,16.0,17.1,4477
AZ,Arizona,Gilbert,9.8,11.0,12.2,5346
AZ,Arizona,Avondale,13.3,13.5,13.8,76238
AL,Alabama,Birmingham,20.8,23.1,25.4,2577
AL,Alabama,Huntsville,14.3,15.6,17.1,732
AZ,Arizona,Chandler,11.3,12.4,13.7,6775
AL,Alabama,Montgomery,13.4,14.8,16.2,2495
AL,Alabama,Huntsville,14.0,15.4,16.8,1807
AZ,Arizona,Avondale,11.8,12.9,14.0,4819
AZ,Arizona,Gilbert,10.1,11.1,12.2,6197
AL,Alabama,Mobile,18.8,20.4,22.1,3761
AK,Alaska,Anchorage,8.4,9.4,10.4,7088
AZ,Arizona,Chandler,9.2,10.5,12.0,4582
AL,Alabama,Hoover,8.8,9.9,11.2,2200
AZ,Arizona,Chandler,8.5,9.7,11.0,4008
AL,Alabama,Tuscaloosa,15.4,19.6,22.7,4096
AZ,Arizona,Chandler,14.3,15.8,17.4,5168
AL,Alabama,Mobile,15.0,16.0,17.1,1416
AK,Alaska,Anchorage,11.2,12.4,13.7,4907
AZ,Arizona,Gilbert,10.4,11.5,12.7,5476
AL,Alabama,Montgomery,14.9,16.3,17.7,5463
AZ,Arizona,Gilbert,9.9,11.0,12.2,7386
AK,Alaska,Anchorage,13.8,14.6,15.5,5706
AZ,Arizona,Chandler,15.7,17.4,18.9,4549
AZ,Arizona,Gilbert,10.0,11.3,12.7,5143
AL,Alabama,Huntsville,13.3,15.1,17.1,2882
AL,Alabama,Tuscaloosa,16.3,21.6,27.2,3525
AK,Alaska,Anchorage,11.5,12.4,13.3,5224
AL,Alabama,Tuscaloosa,11.3,13.0,15.1,2857
AL,Alabama,Birmingham,12.6,14.1,15.5,2587
AL,Alabama,Birmingham,10.3,12.1,14.7,1261
AZ,Arizona,Gilbert,9.5,10.9,12.4,1918
AL,Alabama,Montgomery,15.6,15.8,16.1,205764
AL,Alabama,Birmingham,16.2,18.0,19.9,3992
AK,Alaska,Anchorage,9.4,10.3,11.4,6341
AL,Alabama,Mobile,11.6,12.9,14.2,344
AZ,Arizona,Chandler,15.5,17.0,18.5,5327
AL,Alabama,Montgomery,20.6,22.3,24.1,7828
AZ,Arizona,Gilbert,9.1,10.4,11.9,4262
AL,Alabama,Birmingham,18.9,20.5,22.1,3042
AL,Alabama,Huntsville,12.2,13.8,15.5,6224
AL,Alabama,Mobile,16.1,16.2,16.4,195111
AL,Alabama,Birmingham,15.3,16.7,18.1,4424
AK,Alaska,Anchorage,9.9,10.9,11.8,4993
AL,Alabama,Montgomery,21.4,23.3,25.2,1771
AL,Alabama,Tuscaloosa,16.1,18.0,19.9,2785
AL,Alabama,Montgomery,10.9,11.9,12.9,7478
AL,Alabama,Mobile,17.8,19.7,21.6,3557
AZ,Arizona,Chandler,8.0,9.0,10.2,4210
AK,Alaska,Anchorage,9.4,10.3,11.3,6843
AL,Alabama,Tuscaloosa,14.7,16.5,18.3,682
AL,Alabama,Huntsville,13.7,15.1,16.6,4848
AL,Alabama,Huntsville,11.1,12.3,13.6,6286
AL,Alabama,Birmingham,15.2,16.9,18.5,3413
AK,Alaska,Anchorage,10.6,11.5,12.4,1988
AL,Alabama,Huntsville,14.9,15.1,15.3,180105
AZ,Arizona,Avondale,11.6,12.6,13.6,5366
AL,Alabama,Birmingham,16.9,18.2,19.6,1621
AL,Alabama,Tuscaloosa,13.2,15.1,17.2,130
AL,Alabama,Montgomery,20.8,22.3,23.7,1666
AK,Alaska,Anchorage,7.5,8.7,10.1,5217
AL,Alabama,Birmingham,15.4,16.8,18.3,815
AZ,Arizona,Gilbert,10.6,11.8,13.2,5029
AL,Alabama,Hoover,10.5,12.1,14.2,1636
AL,Alabama,Birmingham,10.0,11.2,12.8,3480
AL,Alabama,Mobile,15.4,16.7,18.0,1184
AL,Alabama,Montgomery,16.2,18.0,20.0,4348
AL,Alabama,Huntsville,11.1,12.1,13.1,4036
