State_Name,State_ab,Median,Stdev,ALand,AWater
Maine,ME,83651,110010.27339027199,3487876.0,0.0
Florida,FL,190668,184993.079571436,34021708.0,46290.0
Nebraska,NE,86530,129455.33744322199,831388.0,0.0
Washington,WA,76742,58202.6896583823,921721.0,0.0
Alabama,AL,126230,152928.388023784,78350113.0,12193260.0
Arkansas,AR,59190,64787.8803209685,3379746.0,0.0
Nevada,NV,99818,83544.6600285717,41575616.666666664,482463.3333333333
Illinois,IL,73283,83817.5380427412,1482082.0,0.0
Wisconsin,WI,300000,95739.76959815381,7194261.666666667,534112.5
South Carolina,SC,62241,75804.2844692188,4865052.25,52373.25
Pennsylvania,PA,69174,75033.2439059639,1757352.0,77644.0
Oklahoma,OK,76845,58484.4535540159,692051.0,0.0
South Dakota,SD,91587,119581.457681546,42624698.0,12688.0
Texas,TX,86856,121067.436332111,5407561.0,0.0
Louisiana,LA,85733,67659.4937403753,5171980.0,13783.0
Kansas,KS,105954,131199.040110333,1561228.0,0.0
Indiana,IN,84937,103560.29805712301,12322287.0,9152.0
West Virginia,WV,83259,84388.2905304351,6713838.833333333,13171.666666666666
Ohio,OH,71681,88766.5858669051,2498535.0,935.0
Oklahoma,OK,73961,35941.914151146404,4329136.0,115287.0
Idaho,ID,300000,78536.8147699932,5175496.0,60209.5
Oklahoma,OK,46634,81681.3234220233,16763985.0,6695.0
Missouri,MO,300000,59403.4480219493,2187659.0,0.0
Washington,WA,85994,108561.460786548,97672407.0,746873.0
Wisconsin,WI,72852,105501.160402894,10446536.0,617884.0
Virginia,VA,112727,140580.274088444,5401073.0,246530.0
Kentucky,KY,300000,79525.2523820916,1220654.0,22050.0
Oregon,OR,34927,30598.0820676215,748808.0,0.0
Pennsylvania,PA,85530,106409.50302499301,1987196.0,138794.0
Pennsylvania,PA,300000,96774.25394323962,8219789.0,1416177.3333333333
Tennessee,TN,300000,93904.7322530358,33797660.0,1106612.25
North Carolina,NC,62089,84179.474903993,60149751.0,527003.0
New Jersey,NJ,177174,180032.26691069198,3363176.0,66629.0
Minnesota,MN,101763,128754.107944819,5159648.0,242142.0
Pennsylvania,PA,300000,68265.9345521147,1510334.0,738.0
Wisconsin,WI,206927,193079.557217001,12336656.0,391929.6666666667
Ohio,OH,160265,167677.992980845,24175839.0,2043.0
Washington,WA,300000,47575.420212318895,22586935.75,172625.5
Arizona,AZ,78452,75999.6904957061,29107045.0,19466.0
Virginia,VT,247399,96498.8940807064,31395328.59090909,1006940.4090909091
Michigan,MI,73244,95814.1254213491,3262412.0,0.0
Texas,TX,80920,110341.1939652,7764564.0,0.0
Nebraska,NE,110385,170761.143216517,1719277.0,0.0
New York,NY,300000,78500.708289545,9375642.714285715,27170.714285714286
Arkansas,AR,300000,65646.0185253028,4137134.5,18135.5
Missouri,MO,71223,83507.1677241975,8253917.0,0.0
Iowa,IA,300000,198761.580125956,1841969.6666666667,0.0
Florida,FL,300000,173783.453454319,17894622.0,291569.8
Virginia,VA,300000,9257.478758138801,12920621.666666666,280415.6666666667
Missouri,MO,300000,81895.0052232228,6342801.5,12850.0
Nebraska,NE,71803,23441.5152557719,1705359.0,0.0
Missouri,MO,119840,150015.615653991,2695999.0,0.0
South Dakota,SD,11726,22225.599944794703,26861059.0,0.0
Utah,UT,250000,78126.264396692,5323876.333333333,5990.0
Oregon,OR,90065,57569.8799080961,1632651.5,484611.5
New York,NY,190930,98675.5562263797,11441416.0,11896.0
Arizona,AZ,94279,104588.38541391301,67101251.0,457467.0
Missouri,MO,119937,149500.381795583,62049991.5,1047874.5
Indiana,IN,300000,87571.93429802821,18084199.0,22301.0
Maryland,MD,300000,209561.903845125,4125794.6666666665,42298.333333333336
Nebraska,NE,85291,78819.41538077321,859918.0,0.0
Missouri,MO,300000,95930.5746875644,6433003.481481481,982673.5925925926
West Virginia,WV,93047,46390.3807094592,2076973.6666666667,2075.3333333333335
Arizona,AZ,300000,57490.4535046469,481437.0,0.0
Virginia,VA,300000,76195.9037454151,6536826.0,6406.666666666667
Florida,FL,102143,139613.077758053,80754580.0,98993688.5
Montana,MT,220863,191348.577529183,8355033.5,30207.0
New York,NY,71176,81551.6354417805,3345503.0,0.0
Missouri,MO,85360,94709.3820054456,20316113.0,17993.0
West Virginia,WV,91729,135217.026459199,9362451.0,197073.0
Iowa,IA,77107,69103.4019786637,1328474.0,59025.0
Idaho,ID,76260,79619.489821761,934438.0,4481.0
Louisiana,LA,99751,136916.10086306802,76830636.0,580662.0
South Carolina,SC,250000,96260.6006022902,47084756.5,191107347.5
California,CA,200964,191353.479201003,14447930.0,9415.0
Louisiana,LA,300000,59977.0132008512,13711634.75,2250599.75
Kansas,KS,70489,70339.5637459303,496135.5,0.0
Louisiana,LA,25986,27395.681147734304,2055513.0,0.0
Missouri,MO,112737,43406.7225942378,2648421.3333333335,0.0
Louisiana,LA,50892,50958.7280566809,7930814.0,354703.0
South Carolina,SC,78563,70934.70128570059,4974220.0,17291.0
Alaska,AK,80996,131153.088167435,51848264.0,17190322.0
Kansas,KS,80267,68975.2269407654,2857434.5,16116.0
Louisiana,LA,89601,94553.872506179,9069802.0,2392283.0
South Carolina,SC,68930,89058.4837162184,7831120.0,236713.0
Wyoming,WY,93307,21793.8109184148,71613743.0,486858.0
Virginia,VA,300000,71250.5096203764,7035007.0,245685.66666666666
North Carolina,NC,126540,152437.32392459302,20598605.0,143960.0
Connecticut,CT,218655,198381.327017217,97430571.0,37323740.0
Kentucky,KY,65480,63020.2037721534,1515106.0,13903.0
West Virginia,WV,77847,84849.8648862663,4836068.5,266151.0
Michigan,MI,60733,78069.6071763017,4935880.0,35845.0
Arizona,AZ,300000,9547.98844190869,3077566.25,5321.75
Montana,MT,74591,62614.0073505712,925074.0,0.0
New Jersey,NJ,300000,52716.6326641799,2893964.0,0.0
Wisconsin,WI,89713,97478.9071263006,6536806.75,55855.0
Utah,UT,121933,149605.950602656,6021801.0,490768.0
Nebraska,NE,101793,92108.382665593,4442482.5,5274.0
Washington,WA,115613,145097.219354083,7748729.0,163995.66666666666
Minnesota,MN,92857,51452.628605889906,12210395.0,12794.0
Nebraska,NE,99439,59333.883947745,27926842.333333332,318864.0
North Carolina,NC,81226,82032.5696964687,9945172.5,57746.0
New York,NY,130775,139976.43329734,50305057.0,751023.0
Mississippi,MS,300000,83177.673556326,36067159.5,165351.5
North Dakota,ND,132654,72975.4409517531,445455.0,0.0
Louisiana,LA,98493,122889.550829526,9097930.0,246388.0
Iowa,IA,81459,74506.8152454503,2589525.0,0.0
Pennsylvania,PA,130698,65050.1542053468,1388625.5,0.0
Georgia,GA,100896,88594.6940646408,20123652.0,573074.5
North Carolina,NC,66041,55017.58602945651,2748298.0,4672.0
Virginia,VA,89221,98048.52432012609,21454450.0,62149.25
Oregon,OR,77876,79923.60085492651,7685614.0,36253.0
Missouri,MO,300000,64267.1878357856,15878043.0,76488.0
Colorado,CO,154265,174130.75042174401,26280041.0,33407.0
North Carolina,NC,95894,159259.573709431,3370834.5,524.5
North Dakota,ND,91842,63406.983460107,6429756.333333333,23812.333333333332
Pennsylvania,PA,87848,117930.99088847301,807744.0,0.0
Missouri,MO,67480,54353.4951921147,6268154.0,0.0
Illinois,IL,85229,94037.85579370141,8941287.0,0.0
Florida,FL,84524,53561.2225383489,8283690.0,278494.0
Minnesota,MN,300000,42329.3524309005,2151258.0,2808.0
Michigan,MI,74216,70403.6138520407,2846064.0,0.0
Texas,TX,85352,121817.779303688,30786649.0,61928.0
Washington,WA,91485,76610.8318247963,5748288.0,0.0
Virginia,VA,202724,97099.622459757,14264409.75,820150.75
Michigan,MI,103331,131932.257216661,94553340.0,753481.0
Ohio,OH,94041,131098.118413342,27290857.0,213736.0
Alaska,AK,16230,31682.2543027927,30141336.0,4265921.0
Washington,WA,87475,119130.624836676,16169547.5,558421.5
California,CA,231930,208137.205033985,16463882.0,2399.0
Montana,MT,137762,154431.946872422,8087202.0,2286220.5
New York,NY,300000,195453.26743812102,543101.0,0.0
New Jersey,NJ,300000,51163.7690409293,1747044.3333333333,7675.333333333333
Minnesota,MN,97169,117748.000303833,1725889.0,0.0
South Dakota,SD,75502,120103.44847463,695233.0,0.0
Illinois,IL,114204,140404.066939918,1405937.0,0.0
Oklahoma,OK,156120,168223.47047,48658460.5,1953955.5
Oklahoma,OK,82630,76287.985905713,17013512.333333332,183708.66666666666
Indiana,IN,68573,122439.02467985901,268105.0,0.0
Texas,TX,107853,128200.54690044401,5138721.0,0.0
Wisconsin,WI,100697,90449.1794839166,6161189.5,31944.5
Ohio,OH,72534,19323.8285728252,1397228.0,8235.0
Missouri,MO,300000,88931.65050665311,19073332.7,800392.9
Wisconsin,WI,90558,120132.469937502,1616371.0,192156.0
North Carolina,NC,38707,31534.478569797597,11491863.0,0.0
New Jersey,NJ,216417,198590.986108127,3734560.0,1947444.0
Georgia,GA,88747,78780.5260565183,4248810.0,23117.0
Illinois,IL,93431,108066.510734426,889897.0,0.0
Pennsylvania,PA,300000,64437.406343390096,3934766.25,70531.5
North Carolina,NC,71513,102468.582138662,3347404.0,0.0
Texas,TX,300000,87663.18583867389,15274542.4,164518.0
West Virginia,WV,42609,48633.860036212594,2737072.0,0.0
North Carolina,NC,250000,42944.1229064673,7715345.0,23287.0
Alaska,AK,9708,8491.2571949626,198111581.0,5673660.0
Iowa,IA,87968,63796.09581700231,377840.0,0.0
Connecticut,CT,112715,153886.586859753,14475571.0,119574.0
Iowa,IA,98193,117168.138288402,7097956.0,5179.0
Missouri,MO,58372,51672.383448345,1565136.0,666.0
North Carolina,NC,56850,48543.0381039941,2710688.0,0.0
Ohio,OH,112922,138271.40734691,44270727.0,591688.0
Vermont,VT,85387,62450.788929525,2403165.3333333335,79250.0
Pennsylvania,PA,75240,96860.52714848949,1581401.0,0.0
Missouri,MO,70547,87872.9374074143,7567635.0,0.0
Virginia,VA,97952,79470.0456608436,14572429.0,21351.0
Wisconsin,WI,97939,128575.78646655801,7987449.0,30686.333333333332
