,city,state_id,state_name,population,density
26560,Solen,ND,North Dakota,86,99
26561,De Borgia,MT,Montana,86,5
26562,Hazelton,KS,Kansas,86,56
26563,Yorktown,IA,Iowa,86,122
26564,Movico,AL,Alabama,86,42
26565,Russellville,IL,Illinois,86,83
26566,La Esperanza,TX,Texas,86,1171
26567,Dante,SD,South Dakota,86,66
26568,Nikolai,AK,Alaska,86,7
26569,Sattley,CA,California,86,16
26570,Vandervoort,AR,Arkansas,86,115
26571,Couderay,WI,Wisconsin,86,34
26572,Glen Flora,WI,Wisconsin,86,58
26573,San Pierre,IN,Indiana,86,228
26574,Hollowayville,IL,Illinois,86,699
26575,Narka,KS,Kansas,86,207
26576,Fingal,ND,North Dakota,86,79
26577,Sacramento,NM,New Mexico,86,5
26578,Los Nopalitos,TX,Texas,86,224
26579,Cottage Grove,TN,Tennessee,86,194
26580,Mount Carbon,PA,Pennsylvania,86,481
