,city,state_id,state_name,population,density
26040,Ohiowa,NE,Nebraska,106,164
26041,Somers,IA,Iowa,106,118
26042,Neville,OH,Ohio,106,103
26043,Plato,MO,Missouri,106,109
26044,Girdletree,MD,Maryland,106,61
26045,Belknap,IL,Illinois,106,38
26046,Brooklyn Heights,MO,Missouri,106,357
26047,Interior,SD,South Dakota,106,30
26048,Carpenter,IA,Iowa,106,255
26049,Cowlic,AZ,Arizona,106,51
26050,Brock,NE,Nebraska,106,130
26051,Ridgely,MO,Missouri,106,28
26052,New Trier,MN,Minnesota,106,217
26053,Pueblito,NM,New Mexico,106,67
26054,Deerfield,VA,Virginia,106,12
26055,Clitherall,MN,Minnesota,106,223
26056,Sims,IN,Indiana,106,41
26057,Spring Hill,IN,Indiana,106,381
26058,Turnerville,WY,Wyoming,106,8
26059,Colon,NE,Nebraska,106,313
26060,Loma Linda,TX,Texas,106,32
26061,Atkinson Mills,PA,Pennsylvania,106,40
26062,Century,WV,West Virginia,106,311
26063,Egegik,AK,Alaska,106,1
26064,Revillo,SD,South Dakota,105,242
26065,Pisek,ND,North Dakota,105,354
26066,Hidalgo,IL,Illinois,105,118
26067,Torboy,WA,Washington,105,43
26068,Gaylord,KS,Kansas,105,158
26069,Ten Broeck,KY,Kentucky,105,186
26070,Pocahontas,MO,Missouri,105,393
26071,Odin,MN,Minnesota,105,109
26072,Grass Range,MT,Montana,105,289
26073,King and Queen Court House,VA,Virginia,105,32
26074,Barstow,WA,Washington,105,72
26075,Brandonville,WV,West Virginia,105,105
26076,Glenham,SD,South Dakota,105,124
26077,Iago,TX,Texas,105,21
26078,Ackworth,IA,Iowa,105,73
26079,Sykeston,ND,North Dakota,105,102
26080,Tradewinds,TX,Texas,105,37
26081,Sarben,NE,Nebraska,105,258
26082,Blodgett Landing,NH,New Hampshire,105,139
26083,Havana,KS,Kansas,105,257
26084,Homewood,PA,Pennsylvania,105,239
26085,Tobias,NE,Nebraska,105,154
26086,Olmitz,KS,Kansas,105,255
26087,Pindall,AR,Arkansas,105,14
26088,East Brooklyn,IL,Illinois,105,786
26089,Elsie,NE,Nebraska,105,234
26090,West Scio,OR,Oregon,105,119
26091,Mount Etna,IN,Indiana,105,352
26092,Lund,NV,Nevada,105,23
26093,Gabbs,NV,Nevada,105,18
26094,Palmer,KS,Kansas,104,130
26095,Vona,CO,Colorado,104,181
26096,Walnut Hill,IL,Illinois,104,105
26097,Big Flat,AR,Arkansas,104,37
26098,Frisco,NC,North Carolina,104,53
26099,Millerville,MN,Minnesota,104,46
26100,Fish Lake,MN,Minnesota,104,43
26101,Mount Auburn,IN,Indiana,104,211
26102,Jericho,AR,Arkansas,104,87
26103,Hamer,ID,Idaho,104,210
26104,Brownington,MO,Missouri,104,331
26105,Belmar,NE,Nebraska,104,8
26106,Salem,NE,Nebraska,104,64
26107,Hatton,WA,Washington,104,107
26108,Nobleton,FL,Florida,104,213
26109,Fruitdale,AL,Alabama,104,8
26110,Silver Lake,OR,Oregon,104,27
26111,Sylvarena,MS,Mississippi,104,15
26112,Mountville,SC,South Carolina,104,14
26113,Melrose,IA,Iowa,104,39
26114,St. Joseph,IA,Iowa,104,46
26115,South Bend,NE,Nebraska,104,300
26116,Slate Springs,MS,Mississippi,104,28
26117,Cardwell,MT,Montana,104,18
26118,Valley,WA,Washington,104,93
26119,Grady,NM,New Mexico,103,149
26120,Truxton,MO,Missouri,103,161
26121,Oberon,ND,North Dakota,103,113
26122,Fraser,IA,Iowa,103,33
26123,Borup,MN,Minnesota,103,156
26124,New Hope,KY,Kentucky,103,64
26125,Wann,NE,Nebraska,103,26
26126,Harrison,MT,Montana,103,175
26127,Union Level,VA,Virginia,103,10
26128,Ronald,WA,Washington,103,42
26129,Atwood,PA,Pennsylvania,103,19
26130,Castle,OK,Oklahoma,103,225
26131,Marrowbone,KY,Kentucky,103,31
26132,Herrick,SD,South Dakota,103,77
26133,Edmonson,TX,Texas,103,92
26134,Pinetown,NC,North Carolina,103,39
26135,Nessen City,MI,Michigan,103,32
26136,Darfur,MN,Minnesota,103,173
26137,Edinburg,MO,Missouri,103,37
26138,Weatherby,MO,Missouri,103,336
26139,Savonburg,KS,Kansas,103,206
26140,Campo Bonito,AZ,Arizona,103,9
26141,Bryce,AZ,Arizona,103,47
26142,Dayton Lakes,TX,Texas,103,46
26143,McCartys Village,NM,New Mexico,103,199
26144,Oto,IA,Iowa,103,150
26145,Nodaway,IA,Iowa,103,74
26146,Palmyra,VA,Virginia,103,28
26147,Beaver,OR,Oregon,103,102
26148,Centerville,WA,Washington,103,11
26149,Gibbs,MO,Missouri,102,159
26150,Turner,MI,Michigan,102,38
26151,Mutual,OH,Ohio,102,291
26152,Springerton,IL,Illinois,102,311
26153,Benton City,MO,Missouri,102,379
