city,State_name,State_ab,ALand,AWater,Median,Stdev
Manalapan,New Jersey,NJ,6184354,24137,240157,210406.5701
Manasquan,New Jersey,NJ,3572648,2967755,219200,198139.0644
Manassas,Virginia,VA,21742170.25,416223.75,138941,151359.1728
Manawa,Wisconsin,WI,2481117,136532,69753,70317.18335
Mancelona,Michigan,MI,2597873,0,60724,59134.77154
Manchaca,Texas,TX,1148239,3309,115466,131526.6949
Manchester,California,CA,6758060,92392.2,115975.2,82150.79535
Manchester Center,Vermont,VT,9179999,78758,155429,165093.6573
Mancos,Colorado,CO,1653206,0,66724,70169.92799
Mandaree,North Dakota,ND,29022538,29235,59253,30541.95826
Manderson,South Dakota,SD,8529725,66247.5,43473,45282.77837
Mangham,Louisiana,LA,2777506,0,114896,180525.6353
Mangum,Oklahoma,OK,4531674,0,90966,156499.5982
Manhasset,New York,NY,762000.5,9058.5,253309.5,226176.4534
Manhattan,Kansas,KS,18603469.67,42990.33333,168065.3333,107363.5998
Manheim,Pennsylvania,PA,3581479,44884,81006,98422.30899
Manilla,Iowa,IA,2675615,0,84711,98681.7331
Manistee,Michigan,MI,4028335.25,760254.5,69087,69769.53271
Manistique,Michigan,MI,8249801,837489,60509,99296.15379
Manito,Illinois,IL,2542049.5,0,90452.5,109554.8701
Manitowoc,Wisconsin,WI,46098809,966509,87246,113997.689
Mankato,Kansas,KS,20444845.4,362721.6,58479.4,87995.85666
Manley Hot Springs,Alaska,AK,141435198,0,250000,58785.73186
Manlius,Illinois,IL,462232,0,300000,55042.03032
Manly,Iowa,IA,2517563,0,80698,76540.03037
Mannford,Oklahoma,OK,15722175.33,7102373.667,65059.33333,93225.60437
Manning,Iowa,IA,6439497,17812,87002,116271.0216
Mannington,West Virginia,WV,2830387,119970,73820,88348.04176
Mannsville,New York,NY,2323671,84385,96627,105845.646
Manor,Texas,TX,19035941,39366,90541,98920.73591
Manorville,New York,NY,65801431,108390,179685,179225.0488
Mansfield,Arkansas,AR,15842344.92,52159.46154,86175.76923,89767.27695
Mansfield Center,Connecticut,CT,7941597,908825,119405,146978.5494
Mansura,Louisiana,LA,7391496,0,56419,29724.39319
Mantachie,Mississippi,MS,10192801,29275,77051,102950.8208
Manteca,California,CA,32468907.5,1428393.5,87059,110099.9862
Manteo,North Carolina,NC,8492810.5,1146961,100069.5,117288.0402
Manti,Utah,UT,5576604,0,83350,97592.96038
Manton,California,CA,24935249.5,103813.5,70163,87898.1919
Manville,New Jersey,NJ,6114727,227250,105612,136385.2841
Many,Louisiana,LA,6342990,24182,90102,89045.77129
Many Farms,Arizona,AZ,21116243,64138,72052,62597.62237
Manzanola,Colorado,CO,715778,0,49293,56252.19121
Maple City,Michigan,MI,2817784,139779,201832,128585.6068
Maple Falls,Washington,WA,4269923.5,115003,300000,41898.10496
Maple Grove,Minnesota,MN,84347844,6429703,171207,175444.2418
Maple Heights,Ohio,OH,13393037,809,73309,85371.50724
Maple Park,Illinois,IL,3133369.5,0,203992.5,102847.4257
Maple Plain,Minnesota,MN,2756992,12167,94199,110569.3907
Maple Shade,New Jersey,NJ,9446244,9492,143967,158976.0372
Maple Valley,Washington,WA,25886517.67,375424,164104,169091.9278
Mapleton,Iowa,IA,8879352.429,187947.5714,91852,111619.5271
Mapleton Depot,Pennsylvania,PA,473752,21838,65019,53634.32879
Mappsville,Virginia,VA,3414814.75,15279,168168,88663.58983
Maquoketa,Iowa,IA,11223961,90929,71685,96955.55805
Mar Lin,Pennsylvania,PA,2347320,0,67827,60602.6319
Marana,Arizona,AZ,185363616.5,949532.5,37544,90566.06494
Marathon,Florida,FL,3006707,219559,133087.3333,139602.8001
Marble,Colorado,CO,5647639,98351,145237,52228.04798
Marble City,Oklahoma,OK,21342487.67,93520.33333,43192.33333,57112.52663
Marble Falls,Texas,TX,13665175,573407,97228.33333,122364.9235
Marble Hill,Missouri,MO,2216877.5,6976,50767,39336.41652
Marbury,Alabama,AL,59967130,199873,122531,85248.04091
Marceline,Missouri,MO,8497709,97999,70044,70620.11359
Marcellus,Michigan,MI,1564714.5,2972.5,98177,132889.5
Marco Island,Florida,FL,15927327.5,14058410,253808.5,212272.4162
Mardela Springs,Maryland,MD,831812.5,33226.5,182232.5,80590.41893
